A;136;20010720 09:50;PDANN;
B;136;1328274;1;20010720 09:50;;;32;ABEL ST;GREENACRE;2190;;;20010410;20010529;252500;A;R;;;ZL;;;7701183;
C;136;1328274;1;20010720 09:50;118//13421;
D;136;1328274;1;20010720 09:50;P;;;;;;
D;136;1328274;1;20010720 09:50;P;;;;;;
D;136;1328274;1;20010720 09:50;V;;;;;;
B;136;1328292;2;20010720 09:50;;;9;ACACIA AVE;PUNCHBOWL;2196;;;20010417;20010530;220000;A;R;;;ZK;;;7695988;
C;136;1328292;2;20010720 09:50;D//312313;
D;136;1328292;2;20010720 09:50;P;;;;;;
D;136;1328292;2;20010720 09:50;V;;;;;;
D;136;1328292;2;20010720 09:50;V;;;;;;
B;136;1368090;407;20010720 09:51;;3;53;NORTHAM AVE;BANKSTOWN;2200;;;20000804;20010613;260000;;R;;3;;;;7712971;
C;136;1368090;407;20010720 09:51;3//SP 65328;
D;136;1368090;407;20010720 09:51;P;;;;;;
D;136;1368090;407;20010720 09:51;P;;;;;;
D;136;1368090;407;20010720 09:51;V;;;;;;
B;136;;408;20010720 09:51;;;;;PANANIA;2213;;;20010511;20010615;295000;;R;;2;;;;7703005;
C;136;408;20010720 09:51;2//SP 65444;
D;136;;408;20010720 09:51;P;;;;;;
D;136;408;20010720 09:51;V;P;;;;;
D;136;408;20010720 09:51;V;P;;;;;
B;136;;409;20010720 09:51;;;;;PANANIA;2213;;;20010321;20010514;325000;;3;Other;3;;;;7660659;
C;136;409;20010720 09:51;3//SP 65444;
D;136;;409;20010720 09:51;P;;;;;;
D;136;409;20010720 09:51;V;P;;;;;
D;136;409;20010720 09:51;V;P;;;;;
B;136;2826360;410;20010720 09:51;;;50;MACKENZIE RD;REVESBY;2212;300;M;20010411;20010620;349000;;R;;1;;;;7721632;
C;136;2826360;410;20010720 09:51;1//65650;
D;136;2826360;410;20010720 09:51;P;;;;;;
D;136;2826360;410;20010720 09:51;P;;;;;;
B;136;2826553;411;20010720 09:51;;;;;PANANIA;2213;;;20010509;20010622;340000;;R;;;;;;7726514;
C;136;2826553;411;20010720 09:51;110//1027424;
D;136;2826553;411;20010720 09:51;P;;;;;;
D;136;2826553;411;20010720 09:51;V;;;;;;
B;136;2830764;412;20010720 09:51;;;;;PADSTOW;2211;;;20010405;20010606;435000;;R;;;;;;7693949;
C;136;2830764;412;20010720 09:51;1//1028029;
D;136;2830764;412;20010720 09:51;P;;;;;;
D;136;2830764;412;20010720 09:51;V;;;;;;
D;136;2830764;412;20010720 09:51;V;;;;;;
D;136;2830764;412;20010720 09:51;V;;;;;;
B;136;2830921;413;20010720 09:51;;;;;REVESBY;2212;;;20010406;20010607;335000;;R;;;;;;7685366;
C;136;2830921;413;20010720 09:51;51//1028388;
D;136;2830921;413;20010720 09:51;P;;;;;;
D;136;2830921;413;20010720 09:51;P;;;;;;
D;136;2830921;413;20010720 09:51;V;;;;;;
B;136;2830942;414;20010720 09:51;;;;;REVESBY;2212;;;20010307;20010608;332500;;R;;;;;;7698728;
C;136;2830942;414;20010720 09:51;32//1028427;
D;136;2830942;414;20010720 09:51;P;;;;;;
D;136;2830942;414;20010720 09:51;P;;;;;;
D;136;2830942;414;20010720 09:51;V;;;;;;
D;136;2830942;414;20010720 09:51;V;;;;;;
B;136;2831250;415;20010720 09:51;;;;;PICNIC POINT;2213;;;20010124;20010611;375000;;R;;;;;;7716697;
C;136;2831250;415;20010720 09:51;2//1029026;
D;136;2831250;415;20010720 09:51;P;;;;;;
D;136;2831250;415;20010720 09:51;P;;;;;;
D;136;2831250;415;20010720 09:51;V;;;;;;
D;136;2831250;415;20010720 09:51;V;;;;;;
Z;2019;415;415;1187;
