A;142;20010720 10:12;PDANN;
B;142;1508798;1;20010720 10:12;;6;5;ABOUKIR ST;ROCKDALE;2216;;;20010412;20010530;275000;;R;;6;;;;7700894;
C;142;1508798;1;20010720 10:12;6//SP 60190;
D;142;1508798;1;20010720 10:12;P;;;;;;
D;142;1508798;1;20010720 10:12;P;;;;;;
D;142;1508798;1;20010720 10:12;V;;;;;;
B;142;1508965;2;20010720 10:12;;;8;AERO ST;BRIGHTON-LE-SANDS;2216;;;20010428;20010607;475500;A;R;;;XE;;;7685165;
C;142;1508965;2;20010720 10:12;37//15656;
D;142;1508965;2;20010720 10:12;P;;;;;;
D;142;1508965;2;20010720 10:12;P;;;;;;
D;142;1508965;2;20010720 10:12;V;;;;;;
D;142;1508965;2;20010720 10:12;V;;;;;;
B;142;1509021;3;20010720 10:12;;4;19;ALBERT ST;BEXLEY;2207;;;20010427;20010608;297500;;R;;4;;;;7688322;
C;142;1509021;3;20010720 10:12;4//7235;
D;142;1509021;3;20010720 10:12;P;;;;;;
D;142;1509021;3;20010720 10:12;P;;;;;;
D;142;1509021;3;20010720 10:12;V;;;;;;
D;142;1509021;3;20010720 10:12;V;;;;;;
B;142;1509269;4;20010720 10:12;;10;36;ALBYN ST;BEXLEY;2207;;;20010515;20010626;163000;;R;;10;;;;7724012;
C;142;1509269;4;20010720 10:12;10//2040;
D;142;1509269;4;20010720 10:12;P;;;;;;
D;142;1509269;4;20010720 10:12;V;;;;;;
D;142;1509269;4;20010720 10:12;V;;;;;;
B;142;1509424;5;20010720 10:12;;8;131;ALFRED ST;SANS SOUCI;2219;;;20010419;20010615;243000;;R;;8;;;;7702928;
C;142;1509424;5;20010720 10:12;8//773;
D;142;1509424;5;20010720 10:12;P;;;;;;
D;142;1509424;5;20010720 10:12;V;;;;;;
B;142;1509424;6;20010720 10:12;;14;131;ALFRED ST;SANS SOUCI;2219;;;20010511;20010622;324500;;3;Other;14;;;;7712515;
C;142;1509424;6;20010720 10:12;14//773;
D;142;1509424;6;20010720 10:12;P;;;;;;
D;142;1509424;6;20010720 10:12;V;;;;;;
B;142;1509424;7;20010720 10:12;;20;131;ALFRED ST;SANS SOUCI;2219;;;20010511;20010622;324500;;3;Other;20;;;;7712515;
C;142;1509424;7;20010720 10:12;20//773;
D;142;1509424;7;20010720 10:12;P;;;;;;
D;142;1509424;7;20010720 10:12;V;;;;;;
