A;091;20010822 14:21;CDIXON;
B;091;897423;1;20010822 14:21;;;74;ABBOTT RD;NORTH CURL CURL;2099;;;20010309;20010516;496000;A;R;;;FH;;;7686579;
C;091;897423;1;20010822 14:21;16//8213;
D;091;897423;1;20010822 14:21;P;;;;;;
D;091;897423;1;20010822 14:21;P;;;;;;
D;091;897423;1;20010822 14:21;V;;;;;;
D;091;897423;1;20010822 14:21;V;;;;;;
B;091;897473;2;20010822 14:21;;;36;ABINGDON ST;NORTH BALGOWLAH;2093;;;20001130;20010216;610000;A;R;;;ES;;;7717609;
C;091;897473;2;20010822 14:21;315//12316;
D;091;897473;2;20010822 14:21;P;;;;;;
D;091;897473;2;20010822 14:21;P;;;;;;
D;091;897473;2;20010822 14:21;V;;;;;;
Z;11;2;2;7;
